title,author,description,url,publishedAt
England recall Pope and Lawrence for Pakistan Tests,Elizabeth Botcherby,Surrey duo Ollie Pope and Dan Lawrence are recalled to the England squad for the first two Tests against Pakistan.,https://www.bbc.co.uk/sport/cricket/articles/crl7911zk40o,2026-08-06 09:00:42
Root lifts midnight curfew on England team,Stephan Shemilt,New Test captain Joe Root abolishes the midnight curfew imposed on the England team under predecessor Ben Stokes.,https://www.bbc.co.uk/sport/cricket/articles/c30428ljm06o,2026-08-12 14:10:05
Pakistan top court orders ex-PM Imran Khan be moved to hospital from jail,Reuters,"ISLAMABAD, Aug 18 (Reuters) - The Supreme Court of Pakistan on Tuesday ordered the transfer of former Prime Minister Imran Khan to a private hospital from ja...",https://www.yahoo.com/news/world/articles/pakistan-top-court-orders-ex-074143121.html,2026-08-18 19:30:33
Pakistan top court orders ex-PM Imran Khan be moved to hospital from jail,https://www.facebook.com/bbcnews,Imran Khan has been imprisoned since 2023 on corruption charges which he says were politically motivated.,https://www.bbc.co.uk/news/articles/cy4kzzlydrro,2026-08-18 16:00:30
Root's great challenge to finish captaincy story,Stephan Shemilt,"Joe Root has an unexpected chance to address some unfinished business as England captain, but it is one of the biggest challenges of his stellar career.",https://www.bbc.co.uk/sport/cricket/articles/cd69881454vo,2026-08-18 16:41:31
West Indies beat Pakistan & dedicate win to Sobers,Timothy Abraham,Jayden Seales takes 5-20 in second innings as West Indies' pace attack ruthlessly blow away Pakistan to secure a 90-run victory just after tea on day four of the first Test.,https://www.bbc.co.uk/sport/cricket/articles/cvg09e84z8do,2026-07-28 21:59:17
Lloyd pays tribute to 'greatest' Sobers at funeral,Mike Peter,"Sir Garfield Sobers is called the ""greatest all-round cricketer the world has ever known"" by former team-mate Sir Clive Lloyd at the legendary West Indies player's state funeral in Barbados.",https://www.bbc.co.uk/sport/cricket/articles/c87n3d4rj2vo,2026-07-29 18:44:36
Justin Greaves sets new cricket bowling record with five wicket maiden,Al Jazeera,"Greaves, a West Indies paceman, becomes the first player in Test history to bowl five straight wicket maidens.",https://www.aljazeera.com/sports/2026/7/28/justin-greaves-sets-new-cricket-bowling-record-with-five-wicket-maiden,2026-07-28 08:17:11
Pakistan beat West Indies to end 8 away Test losing streak and draw series,Al Jazeera,"Pakistan win first away Test in three years, beating West Indies by eight wickets in Trinidad to draw two Test series.",https://www.aljazeera.com/sports/2026/8/6/pakistan-beat-west-indies-to-end-8-away-test-losing-streak-and-draw-series,2026-08-06 06:58:31
Pathirage beats Chopra and Nadeem to win Commonwealth gold in javelin,Kevin Hand,"Rumesh Tharanga Pathirage wins gold, while Neeraj Chopra takes silver, but Arshad Nadeem ,makes early exit.",https://www.aljazeera.com/sports/2026/7/31/pathirage-wins-sri-lankas-first-athletics-gold-in-commonwealth-javelin,2026-07-31 21:49:49
UN urges support for Afghan women’s aid five years into Taliban rule,Chris Hamill-Stewart,More than half of women’s organisations operating in Afghanistan could cease operations within next year: UN Women.,https://www.aljazeera.com/news/2026/8/15/un-urges-support-for-afghan-womens-aid-five-years-into-taliban-rule,2026-08-15 00:23:26
Could UK diaspora players represent India? | Bhatia closes in on Liverpool stake,Dev Trehan,"Also in Dev's Digest, the column that sets the record straight on British South Asians in football: West Ham chief Karim Virani eyes Premier League return; Fulham's Farhaan Ali Wahid joins Borehamwood on loan; Riya Mannu and Zahmena Malik complete moves; Yan …",https://www.skysports.com/football/news/11095/13570292/devs-digest-will-british-indians-represent-india-national-team-amit-bhatia-closes-in-on-liverpool-stake-yan-dhandas-debut-revisited,2026-08-12 11:15:00
Taliban govt to mark five years ruling Afghanistan...,Qubad Wali and Isabelle Wesselingh,"The Taliban government celebrates five years of ruling Afghanistan on Saturday, with the authorities hailing their country's ""freedom"" and security, while cr...",https://www.yahoo.com/news/world/articles/taliban-govt-mark-five-years-210124954.html,2026-08-14 23:55:38
How to watch England vs Pakistan 1st Test: Free Streams & TV Channels,Krishi Chowdhary,"All the ways to watch the 1st Test match between England and Pakistan at Headingley, including free streams as the cricket series gets underway in Leeds.",https://www.techradar.com/how-to-watch/cricket/england-vs-pakistan-1st-test-free-streams,2026-08-19 07:00:00
"How to watch Sky Sports from anywhere – stream Premier League, cricket, golf and more",Adam Marshall,"Sky's premium sports channels have you covered for Premier League football, Test cricket, major golf and so much more – but how can you watch from abroad...?",https://www.techradar.com/how-to-watch/sky-sports-from-anywhere,2026-08-11 13:00:00
Summer lightness: errors that puzzled and/or irritated you.,Harry,"A friend on facebook says that Hamnet contains a pretty serious error — naming the Costwolds the Chilterns (or, pretty much equivalently, mislocating the Chilterns between Stratford and Oxford). I’m not sure that would ruin the book for me, but I definitely w…",https://crookedtimber.org/2026/08/07/summer-lightness-errors-that-puzzled-and-or-irritated-you/,2026-08-07 15:11:40
Jailed former Pakistan PM Imran Khan moved to hospital over health concerns,Unknown Author,"The cricketer-turned-politician has been in jail for three years, convicted in a string of cases he insists are politically motivated.",https://www.abc.net.au/news/2026-08-19/imran-khan-hospital-cricket-prime-minister-pakistan/107052546,2026-08-18 15:04:18
Bazball-era curfews over as Root demands England players 'be adults',Unknown Author,"England skipper Joe Root says the midnight curfews in place at the end of the Bazball reign have been ditched as he called on his players to ""be adults"" in the new era.",https://www.abc.net.au/news/2026-08-13/joe-root-england-captain-curfew-rules-end-after-bazball/107031132,2026-08-12 20:27:29
Mehreen Faruqi says her Australianness feels 'conditional',Anastasia Safioleas,Ask Greens senator Mehreen Faruqi what she was like as a child and you'll catch a revealing glimpse of her as an adult.,https://www.abc.net.au/news/2026-08-11/mehreen-faruqi-on-being-a-muslim-woman-in-parliament/106991726,2026-08-10 19:00:00
Sobers could only do everything — including for SA's Sheffield Shield side,Unknown Author,"In 1961, Sir Garfield Sobers was almost indisputably the world’s greatest cricketer. In a masterstroke, South Australian administrators were able to secure his services and, by extension, a path to Sheffield Shield triumph.",https://www.abc.net.au/news/2026-07-26/sir-garfield-sobers-sa-and-the-sheffield-shield/106956008,2026-07-25 21:35:46
"Quick hits: Tempers flare as Aussies wilt, Starc's heart-in-mouth moment",Henry Hanson and Simon Smale,"Mitchell Starc vents his frustration at a Bangladeshi batter, while a star is born on treacherous Darwin turf. Here are the quick hits from day two of the first Test between Australia and Bangladesh.",https://www.abc.net.au/news/2026-08-14/aus-ban-day-two-quick-hits-smith-tanzid-starc-darwin-turf/107036904,2026-08-14 08:39:26
